test_point_id,mode,config,sm_split,size_regime,is_anchor,k0_bytes,k1_bytes,large_kernel_id,large_kernel_path,reuse_N,blocks_k0,blocks_k1,threads_per_block,trials,plateau_reached,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,delta_vs_cached_pct,l2_hit_rate_zc,l2_hit_rate_cached,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
asym_02,asymmetric,shared,0:0,dram,0,1048576,2752512,1,cached,4,512,1024,256,10,0,0.274162,166.372,56.234,142.597,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_02,asymmetric,shared,0:0,dram,0,1048576,2752512,1,cached,8,512,1024,256,10,0,0.514597,177.277,60.201,142.465,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_02,asymmetric,shared,0:0,dram,0,1048576,2752512,1,cached,16,512,1024,256,10,0,0.991625,183.993,67.234,144.542,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_02,asymmetric,shared,0:0,dram,0,1048576,2752512,1,cached,32,512,1024,256,10,0,1.939617,188.132,74.037,146.182,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_02,asymmetric,shared,0:0,dram,0,1048576,2752512,1,zerocopy,1,512,1024,256,10,0,0.086369,132.030,95.720,155.920,1.983,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_02,asymmetric,shared,0:0,dram,0,1048576,2752512,1,zerocopy,2,512,1024,256,10,0,0.148753,153.318,67.239,146.764,0.925,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_02,asymmetric,shared,0:0,dram,0,1048576,2752512,1,zerocopy,4,512,1024,256,10,0,0.273170,166.977,57.559,142.019,0.363,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_02,asymmetric,shared,0:0,dram,0,1048576,2752512,1,zerocopy,8,512,1024,256,10,0,0.516180,176.733,61.047,141.897,-0.307,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_02,asymmetric,shared,0:0,dram,0,1048576,2752512,1,zerocopy,16,512,1024,256,10,0,0.994521,183.457,67.298,144.239,-0.291,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_02,asymmetric,shared,0:0,dram,0,1048576,2752512,1,zerocopy,32,512,1024,256,10,0,1.942770,187.827,71.185,145.616,-0.162,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_03,asymmetric,shared,0:0,dram,0,1048576,4816896,1,cached,1,512,4096,256,10,0,0.119713,146.988,82.091,168.753,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_03,asymmetric,shared,0:0,dram,0,1048576,4816896,1,cached,2,512,4096,256,10,0,0.216146,162.820,47.611,161.266,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_03,asymmetric,shared,0:0,dram,0,1048576,4816896,1,cached,4,512,4096,256,10,0,0.408852,172.154,38.494,157.559,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_03,asymmetric,shared,0:0,dram,0,1048576,4816896,1,cached,8,512,4096,256,10,0,0.785831,179.137,40.458,157.240,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
