size_per_buffer_bytes,read_footprint_bytes,total_footprint_bytes,reuse_N,blocks,threads_per_block,saturated,trials,time_ms_median,time_ms_min,time_ms_max,time_ms_std,per_launch_ms_median,achieved_GBps_median,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
32768,65536,98304,32,256,256,0,10,0.135872,0.134560,0.143264,0.002411,0.004246,23.152,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,32,512,256,0,10,0.154368,0.152576,0.158048,0.001679,0.004824,20.378,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,32,1024,256,0,10,0.192400,0.189856,0.194464,0.001364,0.006013,16.350,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,1,16,256,0,10,0.007904,0.007648,0.010784,0.000929,0.007904,24.874,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,1,32,256,1,10,0.007616,0.006464,0.009792,0.000856,0.007616,25.815,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,1,64,256,1,10,0.007472,0.007072,0.010656,0.001030,0.007472,26.313,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,1,128,256,0,10,0.007648,0.006912,0.012256,0.001448,0.007648,25.707,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,1,256,256,0,10,0.007728,0.007360,0.012352,0.001457,0.007728,25.441,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,1,512,256,0,10,0.008288,0.007968,0.010432,0.000683,0.008288,23.722,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,1,1024,256,0,10,0.009776,0.009152,0.012384,0.000868,0.009776,20.111,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,2,16,256,0,10,0.012464,0.011968,0.017664,0.001597,0.006232,31.548,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,2,32,256,0,10,0.012416,0.011232,0.015584,0.001097,0.006208,31.670,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,2,64,256,1,10,0.011232,0.010912,0.015648,0.001376,0.005616,35.009,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,2,128,256,0,10,0.011808,0.010400,0.015584,0.001380,0.005904,33.301,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,2,256,256,0,10,0.012368,0.011776,0.014656,0.001004,0.006184,31.793,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,2,512,256,0,10,0.013200,0.012768,0.016320,0.000984,0.006600,29.789,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,2,1024,256,0,10,0.015648,0.014880,0.017248,0.000619,0.007824,25.129,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,4,16,256,0,10,0.020656,0.019232,0.025152,0.001569,0.005164,38.073,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,4,32,256,1,10,0.019776,0.018848,0.025408,0.001775,0.004944,39.767,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,4,64,256,1,10,0.019440,0.018240,0.025760,0.002027,0.004860,40.454,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,4,128,256,1,10,0.019568,0.018432,0.026624,0.002247,0.004892,40.190,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,4,256,256,0,10,0.020592,0.020064,0.026368,0.001790,0.005148,38.191,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,4,512,256,0,10,0.022496,0.021888,0.025440,0.001001,0.005624,34.959,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,4,1024,256,0,10,0.027344,0.026912,0.032448,0.001569,0.006836,28.761,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,8,16,256,0,10,0.037392,0.036896,0.040736,0.001027,0.004674,42.064,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,8,32,256,1,10,0.034304,0.032704,0.041728,0.002430,0.004288,45.851,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,8,64,256,1,10,0.034352,0.033344,0.044800,0.003392,0.004294,45.787,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,8,128,256,1,10,0.034736,0.032288,0.038880,0.001655,0.004342,45.281,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,8,256,256,0,10,0.036976,0.036256,0.045312,0.002552,0.004622,42.537,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,8,512,256,0,10,0.042496,0.041312,0.046144,0.001288,0.005312,37.012,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,8,1024,256,0,10,0.051792,0.051168,0.054112,0.000867,0.006474,30.369,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,16,16,256,0,10,0.071632,0.070304,0.077184,0.001881,0.004477,43.915,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,16,32,256,1,10,0.066512,0.064736,0.069472,0.001235,0.004157,47.296,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,16,64,256,1,10,0.065728,0.064800,0.072896,0.002272,0.004108,47.860,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,16,128,256,0,10,0.067552,0.064960,0.069920,0.001332,0.004222,46.568,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,16,256,256,0,10,0.070480,0.068960,0.076288,0.001906,0.004405,44.633,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,16,512,256,0,10,0.080560,0.077984,0.084960,0.001813,0.005035,39.048,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,16,1024,256,0,10,0.099520,0.098112,0.103200,0.001612,0.006220,31.609,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,32,16,256,0,10,0.139008,0.136736,0.146624,0.002604,0.004344,45.260,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,32,32,256,0,10,0.131920,0.130080,0.134016,0.001159,0.004123,47.691,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,32,64,256,1,10,0.129216,0.127680,0.133888,0.001926,0.004038,48.689,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,32,128,256,1,10,0.130496,0.128832,0.135936,0.001889,0.004078,48.212,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,32,256,256,0,10,0.138768,0.137184,0.140224,0.001055,0.004337,45.338,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,32,512,256,0,10,0.157856,0.155456,0.161824,0.001643,0.004933,39.856,1300,MAXN,53.0,13.2,13.2
65536,131072,196608,32,1024,256,0,10,0.195200,0.191776,0.200544,0.002320,0.006100,32.231,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,1,16,256,0,10,0.008560,0.008352,0.012672,0.001306,0.008560,45.936,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,1,32,256,1,10,0.007568,0.007264,0.011296,0.001198,0.007568,51.958,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,1,64,256,1,10,0.007520,0.007168,0.011616,0.001273,0.007520,52.289,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,1,128,256,0,10,0.007872,0.007296,0.011328,0.001164,0.007872,49.951,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,1,256,256,0,10,0.007984,0.007648,0.011136,0.000998,0.007984,49.250,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,1,512,256,0,10,0.008512,0.008160,0.011264,0.000875,0.008512,46.195,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,1,1024,256,0,10,0.009824,0.009376,0.012832,0.000952,0.009824,40.026,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,2,16,256,0,10,0.013520,0.012576,0.017760,0.001385,0.006760,58.168,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,2,32,256,0,10,0.012912,0.012000,0.015616,0.000956,0.006456,60.907,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,2,64,256,1,10,0.012416,0.011840,0.015712,0.001043,0.006208,63.340,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,2,128,256,1,10,0.012576,0.011744,0.015392,0.000960,0.006288,62.534,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,2,256,256,0,10,0.013136,0.012480,0.016416,0.001048,0.006568,59.868,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,2,512,256,0,10,0.013536,0.013152,0.016800,0.001013,0.006768,58.099,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,2,1024,256,0,10,0.015728,0.015360,0.022528,0.002059,0.007864,50.002,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,4,16,256,0,10,0.023072,0.022656,0.030912,0.002578,0.005768,68.172,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,4,32,256,0,10,0.020848,0.019936,0.024544,0.001203,0.005212,75.444,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,4,64,256,1,10,0.020400,0.019584,0.024064,0.001180,0.005100,77.101,1300,MAXN,53.0,13.2,13.2
131072,262144,393216,4,128,256,1,10,0.020608,0.020256,0.023648,0.000976,0.005152,76.323,1300,MAXN,53.0,13.2,13.2
