mode,reuse_N,k0_bytes,k1_bytes,combined_read_footprint_bytes,blocks_k0,blocks_k1,threads_per_block,trials,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,single_k0_GBps_ref,single_k1_GBps_ref,scaling_efficiency,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
symmetric,32,393216,393216,1572864,256,128,256,10,0.296400,254.715,189.868,127.357,97.524,97.524,1.305908,1300,MAXN,55.2,13.2,13.2
symmetric,1,458752,458752,1835008,256,256,256,10,0.017264,159.437,92.391,79.718,168.617,168.617,0.472777,1300,MAXN,55.2,13.2,13.2
symmetric,2,458752,458752,1835008,256,256,256,10,0.026576,207.143,140.549,103.571,168.617,168.617,0.614240,1300,MAXN,55.2,13.2,13.2
symmetric,4,458752,458752,1835008,256,256,256,10,0.047504,231.771,159.363,115.885,168.617,168.617,0.687270,1300,MAXN,55.2,13.2,13.2
symmetric,8,458752,458752,1835008,256,256,256,10,0.089184,246.906,172.766,123.453,168.617,168.617,0.732151,1300,MAXN,55.2,13.2,13.2
symmetric,16,458752,458752,1835008,256,256,256,10,0.172016,256.024,185.205,128.012,168.617,168.617,0.759187,1300,MAXN,55.2,13.2,13.2
symmetric,32,458752,458752,1835008,256,256,256,10,0.339376,259.536,185.043,129.768,168.617,168.617,0.769603,1300,MAXN,55.2,13.2,13.2
symmetric,1,524288,524288,2097152,128,256,256,10,0.018800,167.326,100.310,83.663,168.617,168.617,0.496172,1300,MAXN,55.2,13.2,13.2
symmetric,2,524288,524288,2097152,128,256,256,10,0.034256,183.660,105.363,91.830,168.617,168.617,0.544607,1300,MAXN,55.2,13.2,13.2
symmetric,4,524288,524288,2097152,128,256,256,10,0.058000,216.947,129.093,108.473,168.617,168.617,0.643312,1300,MAXN,55.2,13.2,13.2
symmetric,8,524288,524288,2097152,128,256,256,10,0.104496,240.830,146.340,120.415,168.617,168.617,0.714135,1300,MAXN,55.2,13.2,13.2
symmetric,16,524288,524288,2097152,128,256,256,10,0.201616,249.641,161.618,124.821,168.617,168.617,0.740261,1300,MAXN,55.2,13.2,13.2
symmetric,32,524288,524288,2097152,128,256,256,10,0.400000,251.658,162.974,125.829,168.617,168.617,0.746242,1300,MAXN,55.2,13.2,13.2
symmetric,1,589824,589824,2359296,256,256,256,10,0.020016,176.806,110.042,88.403,168.617,168.617,0.524282,1300,MAXN,55.2,13.2,13.2
symmetric,2,589824,589824,2359296,256,256,256,10,0.036208,195.479,112.219,97.739,168.617,168.617,0.579653,1300,MAXN,55.2,13.2,13.2
symmetric,4,589824,589824,2359296,256,256,256,10,0.061168,231.425,138.111,115.712,168.617,168.617,0.686243,1300,MAXN,55.2,13.2,13.2
symmetric,8,589824,589824,2359296,256,256,256,10,0.111280,254.417,154.404,127.209,168.617,168.617,0.754423,1300,MAXN,55.2,13.2,13.2
symmetric,16,589824,589824,2359296,256,256,256,10,0.215984,262.163,164.251,131.082,168.617,168.617,0.777393,1300,MAXN,55.2,13.2,13.2
symmetric,32,589824,589824,2359296,256,256,256,10,0.423424,267.453,170.972,133.727,168.617,168.617,0.793080,1300,MAXN,55.2,13.2,13.2
symmetric,1,655360,655360,2621440,256,128,256,10,0.021280,184.782,123.497,92.391,168.617,168.617,0.547934,1300,MAXN,55.2,13.2,13.2
symmetric,2,655360,655360,2621440,256,128,256,10,0.038896,202.188,120.648,101.094,168.617,168.617,0.599549,1300,MAXN,55.2,13.2,13.2
symmetric,4,655360,655360,2621440,256,128,256,10,0.066992,234.784,145.334,117.392,168.617,168.617,0.696205,1300,MAXN,55.2,13.2,13.2
symmetric,8,655360,655360,2621440,256,128,256,10,0.120848,260.305,165.023,130.152,168.617,168.617,0.771881,1300,MAXN,55.2,13.2,13.2
symmetric,16,655360,655360,2621440,256,128,256,10,0.235296,267.385,172.297,133.692,168.617,168.617,0.792876,1300,MAXN,55.2,13.2,13.2
symmetric,32,655360,655360,2621440,256,128,256,10,0.454720,276.718,180.126,138.359,168.617,168.617,0.820551,1300,MAXN,55.2,13.2,13.2
symmetric,1,720896,720896,2883584,256,256,256,10,0.024656,175.429,93.867,87.714,168.617,168.617,0.520199,1300,MAXN,55.2,13.2,13.2
symmetric,2,720896,720896,2883584,256,256,256,10,0.045376,190.646,105.271,95.323,168.617,168.617,0.565323,1300,MAXN,55.2,13.2,13.2
symmetric,4,720896,720896,2883584,256,256,256,10,0.077312,223.788,132.064,111.894,168.617,168.617,0.663599,1300,MAXN,55.2,13.2,13.2
symmetric,8,720896,720896,2883584,256,256,256,10,0.142608,242.644,144.991,121.322,168.617,168.617,0.719513,1300,MAXN,55.2,13.2,13.2
symmetric,16,720896,720896,2883584,256,256,256,10,0.279264,247.816,146.414,123.908,168.617,168.617,0.734848,1300,MAXN,55.2,13.2,13.2
symmetric,32,720896,720896,2883584,256,256,256,10,0.539104,256.745,155.752,128.372,168.617,168.617,0.761325,1300,MAXN,55.2,13.2,13.2
symmetric,1,786432,786432,3145728,64,256,256,10,0.031040,152.016,80.226,76.008,168.617,168.617,0.450775,1300,MAXN,55.2,13.2,13.2
symmetric,2,786432,786432,3145728,64,256,256,10,0.054400,173.478,90.381,86.739,168.617,168.617,0.514413,1300,MAXN,55.2,13.2,13.2
symmetric,4,786432,786432,3145728,64,256,256,10,0.103456,182.439,92.362,91.219,168.617,168.617,0.540985,1300,MAXN,55.2,13.2,13.2
symmetric,8,786432,786432,3145728,64,256,256,10,0.189808,198.879,109.136,99.439,168.617,168.617,0.589735,1300,MAXN,55.2,13.2,13.2
symmetric,16,786432,786432,3145728,64,256,256,10,0.378512,199.459,109.394,99.729,168.617,168.617,0.591455,1300,MAXN,55.2,13.2,13.2
symmetric,32,786432,786432,3145728,64,256,256,10,0.732000,206.277,115.237,103.139,168.617,168.617,0.611674,1300,MAXN,55.2,13.2,13.2
symmetric,1,851968,851968,3407872,128,256,256,10,0.035072,145.752,75.996,72.876,270.437,270.437,0.269475,1300,MAXN,55.2,13.2,13.2
symmetric,2,851968,851968,3407872,128,256,256,10,0.063648,160.627,83.070,80.314,270.437,270.437,0.296978,1300,MAXN,55.2,13.2,13.2
symmetric,4,851968,851968,3407872,128,256,256,10,0.121680,168.041,85.208,84.021,270.437,270.437,0.310684,1300,MAXN,55.2,13.2,13.2
symmetric,8,851968,851968,3407872,128,256,256,10,0.218992,186.740,98.897,93.370,270.437,270.437,0.345255,1300,MAXN,55.2,13.2,13.2
symmetric,16,851968,851968,3407872,128,256,256,10,0.409008,199.969,110.225,99.985,270.437,270.437,0.369715,1300,MAXN,55.2,13.2,13.2
symmetric,32,851968,851968,3407872,128,256,256,10,0.796080,205.479,114.246,102.740,270.437,270.437,0.379902,1300,MAXN,55.2,13.2,13.2
symmetric,1,917504,917504,3670016,128,256,256,10,0.037696,146.037,75.420,73.019,270.437,270.437,0.270003,1300,MAXN,55.2,13.2,13.2
symmetric,2,917504,917504,3670016,128,256,256,10,0.070336,156.535,79.774,78.268,270.437,270.437,0.289411,1300,MAXN,55.2,13.2,13.2
symmetric,4,917504,917504,3670016,128,256,256,10,0.132880,165.714,83.653,82.857,270.437,270.437,0.306382,1300,MAXN,55.2,13.2,13.2
symmetric,8,917504,917504,3670016,128,256,256,10,0.250112,176.082,91.744,88.041,270.437,270.437,0.325551,1300,MAXN,55.2,13.2,13.2
symmetric,16,917504,917504,3670016,128,256,256,10,0.464192,189.750,101.994,94.875,270.437,270.437,0.350821,1300,MAXN,55.2,13.2,13.2
