test_point_id,mode,k0_bytes,k1_bytes,config,sm_split_k0,sm_split_k1,blocks_k0,blocks_k1,threads_per_block,trials,reuse_N,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
reuse_sym_851968,symmetric,851968,851968,green,8,8,128,512,256,10,32,0.797632,205.079,126.264,102.540,1300,MAXN,54.8,13.2,13.2
reuse_sym_4194304,symmetric,4194304,4194304,shared,16,16,2048,1024,256,10,1,0.141680,177.624,144.644,88.812,1300,MAXN,54.8,13.2,13.2
reuse_sym_4194304,symmetric,4194304,4194304,shared,16,16,2048,1024,256,10,2,0.274816,183.147,114.557,91.573,1300,MAXN,54.8,13.2,13.2
reuse_sym_4194304,symmetric,4194304,4194304,shared,16,16,2048,1024,256,10,4,0.541408,185.929,103.284,92.964,1300,MAXN,54.8,13.2,13.2
reuse_sym_4194304,symmetric,4194304,4194304,shared,16,16,2048,1024,256,10,8,1.076432,187.031,98.449,93.516,1300,MAXN,54.7,13.2,13.2
reuse_sym_4194304,symmetric,4194304,4194304,shared,16,16,2048,1024,256,10,16,2.135776,188.528,96.678,94.264,1300,MAXN,54.8,13.2,13.2
reuse_sym_4194304,symmetric,4194304,4194304,shared,16,16,2048,1024,256,10,32,4.297104,187.407,96.546,93.703,1300,MAXN,54.8,13.2,13.2
reuse_sym_4194304,symmetric,4194304,4194304,green,8,8,1024,1024,256,10,1,0.145792,172.615,88.224,86.307,1300,MAXN,55.1,13.2,13.2
reuse_sym_4194304,symmetric,4194304,4194304,green,8,8,1024,1024,256,10,2,0.283584,177.484,90.275,88.742,1300,MAXN,54.8,13.2,13.2
reuse_sym_4194304,symmetric,4194304,4194304,green,8,8,1024,1024,256,10,4,0.559504,179.915,91.049,89.958,1300,MAXN,55.1,13.2,13.2
reuse_sym_4194304,symmetric,4194304,4194304,green,8,8,1024,1024,256,10,8,1.113232,180.849,92.757,90.424,1300,MAXN,54.8,13.2,13.2
reuse_sym_4194304,symmetric,4194304,4194304,green,8,8,1024,1024,256,10,16,2.224752,180.988,93.157,90.494,1300,MAXN,54.7,13.2,13.2
reuse_sym_4194304,symmetric,4194304,4194304,green,8,8,1024,1024,256,10,32,4.455904,180.728,92.462,90.364,1300,MAXN,54.8,13.2,13.2
